anime_id,name,genre,type,comb
19647,Hajime no Ippo: Rising,"comedy, drama, shounen, sports",tv,"comedy, drama, shounen, sports tv"
4282,Kara no Kyoukai 5: Mujun Rasen,"action, drama, mystery, romance, supernatural, thriller",movie,"action, drama, mystery, romance, supernatural, thriller movie"
10379,Natsume Yuujinchou San,"drama, fantasy, shoujo, slice of life, supernatural",tv,"drama, fantasy, shoujo, slice of life, supernatural tv"
22135,Ping Pong The Animation,"psychological, seinen, sports",tv,"psychological, seinen, sports tv"
21329,Mushishi Special: Hihamukage,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural special"
31043,Boku dake ga Inai Machi,"mystery, psychological, seinen, supernatural",tv,"mystery, psychological, seinen, supernatural tv"
7785,Yojouhan Shinwa Taikei,"mystery, psychological, romance",tv,"mystery, psychological, romance tv"
3297,Aria The Origination,"fantasy, sci-fi, shounen, slice of life",tv,"fantasy, sci-fi, shounen, slice of life tv"
30709,Kamisama Hajimemashita: Kako-hen,"comedy, demons, fantasy, shoujo, supernatural",ova,"comedy, demons, fantasy, shoujo, supernatural ova"
6114,Rainbow: Nisha Rokubou no Shichinin,"drama, historical, seinen, thriller",tv,"drama, historical, seinen, thriller tv"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"drama, fantasy, psychological, thriller",tv,"drama, fantasy, psychological, thriller tv"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"action, mecha, sci-fi, space, super power",movie,"action, mecha, sci-fi, space, super power movie"
5300,Zoku Natsume Yuujinchou,"drama, fantasy, shoujo, slice of life, supernatural",tv,"drama, fantasy, shoujo, slice of life, supernatural tv"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"drama, slice of life, supernatural",tv,"drama, slice of life, supernatural tv"
24415,Kuroko no Basket 3rd Season,"comedy, school, shounen, sports",tv,"comedy, school, shounen, sports tv"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"sci-fi, thriller",movie,"sci-fi, thriller movie"
10408,Hotarubi no Mori e,"drama, romance, shoujo, supernatural",movie,"drama, romance, shoujo, supernatural movie"
28171,Shokugeki no Souma,"ecchi, school, shounen",tv,"ecchi, school, shounen tv"
32995,Yuri!!! on Ice,"comedy, sports",tv,"comedy, sports tv"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,"action, comedy, historical, parody, samurai, sci-fi, shounen movie"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"action, adventure, drama, shounen, supernatural",tv,"action, adventure, drama, shounen, supernatural tv"
7472,Gintama Movie: Shinyaku Benizakura-hen,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,"action, comedy, historical, parody, samurai, sci-fi, shounen movie"
777,Hellsing Ultimate,"action, horror, military, seinen, supernatural, vampire",ova,"action, horror, military, seinen, supernatural, vampire ova"
22535,Kiseijuu: Sei no Kakuritsu,"action, drama, horror, psychological, sci-fi, seinen",tv,"action, drama, horror, psychological, sci-fi, seinen tv"
28735,Shouwa Genroku Rakugo Shinjuu,"drama, historical, josei",tv,"drama, historical, josei tv"
12431,Uchuu Kyoudai,"comedy, sci-fi, seinen, slice of life, space",tv,"comedy, sci-fi, seinen, slice of life, space tv"
28805,Bakemono no Ko,"adventure, supernatural",movie,"adventure, supernatural movie"
578,Hotaru no Haka,"drama, historical",movie,"drama, historical movie"
16894,Kuroko no Basket 2nd Season,"comedy, school, shounen, sports",tv,"comedy, school, shounen, sports tv"
5028,Major S5,"comedy, drama, romance, sports",tv,"comedy, drama, romance, sports tv"
21,One Piece,"action, adventure, comedy, drama, fantasy, shounen, super power",tv,"action, adventure, comedy, drama, fantasy, shounen, super power tv"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"action, mecha, military, mystery, police, sci-fi, seinen",tv,"action, mecha, military, mystery, police, sci-fi, seinen tv"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"action, adventure, comedy, drama, shounen, supernatural",tv,"action, adventure, comedy, drama, shounen, supernatural tv"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"action, mystery, romance, supernatural, thriller",movie,"action, mystery, romance, supernatural, thriller movie"
17389,Kingdom 2nd Season,"action, historical, military, seinen",tv,"action, historical, military, seinen tv"
170,Slam Dunk,"comedy, drama, school, shounen, sports",tv,"comedy, drama, school, shounen, sports tv"
10162,Usagi Drop,"josei, slice of life",tv,"josei, slice of life tv"
18617,Girls und Panzer der Film,"military, school",movie,"military, school movie"
32182,Mob Psycho 100,"action, comedy, slice of life, supernatural",tv,"action, comedy, slice of life, supernatural tv"
877,Nana,"comedy, drama, music, romance, shoujo, slice of life",tv,"comedy, drama, music, romance, shoujo, slice of life tv"
2251,Baccano!,"action, comedy, historical, mystery, seinen, supernatural",tv,"action, comedy, historical, mystery, seinen, supernatural tv"
24687,Mushishi Zoku Shou: Odoro no Michi,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural special"
16498,Shingeki no Kyojin,"action, drama, fantasy, shounen, super power",tv,"action, drama, fantasy, shounen, super power tv"
10030,Bakuman. 2nd Season,"comedy, drama, romance, shounen",tv,"comedy, drama, romance, shounen tv"
5941,Cross Game,"comedy, drama, romance, school, sports",tv,"comedy, drama, romance, school, sports tv"
30346,Doukyuusei (Movie),"romance, school, shounen ai, slice of life",movie,"romance, school, shounen ai, slice of life movie"
3784,Evangelion: 2.0 You Can (Not) Advance,"action, mecha, sci-fi",movie,"action, mecha, sci-fi movie"
13125,Shinsekai yori,"drama, horror, mystery, sci-fi, supernatural",tv,"drama, horror, mystery, sci-fi, supernatural tv"
12029,Uchuu Senkan Yamato 2199,"action, drama, military, sci-fi, space",ova,"action, drama, military, sci-fi, space ova"
14397,Chihayafuru 2,"drama, game, josei, slice of life, sports",tv,"drama, game, josei, slice of life, sports tv"
10087,Fate/Zero,"action, fantasy, supernatural",tv,"action, fantasy, supernatural tv"
14719,JoJo no Kimyou na Bouken (TV),"action, adventure, shounen, supernatural, vampire",tv,"action, adventure, shounen, supernatural, vampire tv"
9756,Mahou Shoujo Madoka★Magica,"drama, magic, psychological, thriller",tv,"drama, magic, psychological, thriller tv"
10165,Nichijou,"comedy, school, slice of life",tv,"comedy, school, slice of life tv"
13601,Psycho-Pass,"action, police, psychological, sci-fi",tv,"action, police, psychological, sci-fi tv"
22789,Barakamon,"comedy, slice of life",tv,"comedy, slice of life tv"
30230,Diamond no Ace: Second Season,"comedy, school, shounen, sports",tv,"comedy, school, shounen, sports tv"
18115,Magi: The Kingdom of Magic,"action, adventure, fantasy, magic, shounen",tv,"action, adventure, fantasy, magic, shounen tv"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"drama, magic, psychological, thriller",movie,"drama, magic, psychological, thriller movie"
11917,Major: World Series,"comedy, drama, sports",ova,"comedy, drama, sports ova"
205,Samurai Champloo,"action, adventure, comedy, historical, samurai, shounen",tv,"action, adventure, comedy, historical, samurai, shounen tv"
32282,Shokugeki no Souma: Ni no Sara,"ecchi, school, shounen",tv,"ecchi, school, shounen tv"
6594,Katanagatari,"action, adventure, historical, martial arts, romance",tv,"action, adventure, historical, martial arts, romance tv"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"drama, magic, psychological, thriller",movie,"drama, magic, psychological, thriller movie"
7655,Major S6,"comedy, drama, sports",tv,"comedy, drama, sports tv"
2246,Mononoke,"demons, fantasy, historical, horror, mystery, seinen, supernatural",tv,"demons, fantasy, historical, horror, mystery, seinen, supernatural tv"
25835,Shirobako,"comedy, drama",tv,"comedy, drama tv"
2921,Ashita no Joe 2,"drama, sports",tv,"drama, sports tv"
136,Hunter x Hunter,"action, adventure, shounen, super power",tv,"action, adventure, shounen, super power tv"
30503,Noragami Aragoto,"action, adventure, shounen, supernatural",tv,"action, adventure, shounen, supernatural tv"
12531,Sakamichi no Apollon,"drama, josei, music, romance, school",tv,"drama, josei, music, romance, school tv"
523,Tonari no Totoro,"adventure, comedy, supernatural",movie,"adventure, comedy, supernatural movie"
467,Ghost in the Shell: Stand Alone Complex,"action, mecha, military, police, sci-fi, seinen",tv,"action, mecha, military, police, sci-fi, seinen tv"
572,Kaze no Tani no Nausicaä,"adventure, fantasy",movie,"adventure, fantasy movie"
19815,No Game No Life,"adventure, comedy, ecchi, fantasy, game, supernatural",tv,"adventure, comedy, ecchi, fantasy, game, supernatural tv"
2559,Romeo no Aoi Sora,"adventure, drama, historical, slice of life",tv,"adventure, drama, historical, slice of life tv"
392,Yuu☆Yuu☆Hakusho,"action, comedy, demons, fantasy, martial arts, school, shounen",tv,"action, comedy, demons, fantasy, martial arts, school, shounen tv"
486,Kino no Tabi: The Beautiful World,"action, adventure, slice of life",tv,"action, adventure, slice of life tv"
11771,Kuroko no Basket,"comedy, school, shounen, sports",tv,"comedy, school, shounen, sports tv"
1698,Nodame Cantabile,"comedy, drama, josei, music, romance, slice of life",tv,"comedy, drama, josei, music, romance, slice of life tv"
5341,Ookami to Koushinryou II,"adventure, fantasy, historical, romance",tv,"adventure, fantasy, historical, romance tv"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"action, fantasy, shoujo, supernatural",ova,"action, fantasy, shoujo, supernatural ova"
10863,Steins;Gate: Oukoubakko no Poriomania,"sci-fi, thriller",special,"sci-fi, thriller special"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"action, fantasy, magic, shounen, supernatural",tv,"action, fantasy, magic, shounen, supernatural tv"
5420,Kemono no Souja Erin,"drama, fantasy",tv,"drama, fantasy tv"
9260,Kizumonogatari I: Tekketsu-hen,"mystery, supernatural, vampire",movie,"mystery, supernatural, vampire movie"
32,Neon Genesis Evangelion: The End of Evangelion,"dementia, drama, mecha, psychological, sci-fi",movie,"dementia, drama, mecha, psychological, sci-fi movie"
4224,Toradora!,"comedy, romance, school, slice of life",tv,"comedy, romance, school, slice of life tv"
2236,Toki wo Kakeru Shoujo,"adventure, drama, romance, sci-fi",movie,"adventure, drama, romance, sci-fi movie"
2685,Tsubasa: Tokyo Revelations,"action, adventure, drama, fantasy, romance, shounen",ova,"action, adventure, drama, fantasy, romance, shounen ova"
31181,Owarimonogatari,"comedy, mystery, supernatural",tv,"comedy, mystery, supernatural tv"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"action, adventure, comedy, historical, romance, samurai",tv,"action, adventure, comedy, historical, romance, samurai tv"
2418,Stranger: Mukou Hadan,"action, adventure, historical, samurai",movie,"action, adventure, historical, samurai movie"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"adventure, mystery, police, shounen",movie,"adventure, mystery, police, shounen movie"
22297,Fate/stay night: Unlimited Blade Works,"action, fantasy, magic, shounen, supernatural",tv,"action, fantasy, magic, shounen, supernatural tv"
627,Major S1,"comedy, drama, shounen, sports",tv,"comedy, drama, shounen, sports tv"
10937,Mobile Suit Gundam: The Origin,"action, mecha, military, sci-fi, shounen, space",ova,"action, mecha, military, sci-fi, shounen, space ova"
23755,Nanatsu no Taizai,"action, adventure, ecchi, fantasy, shounen, supernatural",tv,"action, adventure, ecchi, fantasy, shounen, supernatural tv"
4081,Natsume Yuujinchou,"drama, fantasy, shoujo, slice of life, supernatural",tv,"drama, fantasy, shoujo, slice of life, supernatural tv"
4155,One Piece Film: Strong World,"action, adventure, comedy, drama, fantasy, shounen",movie,"action, adventure, comedy, drama, fantasy, shounen movie"
1889,Higurashi no Naku Koro ni Kai,"mystery, psychological, supernatural, thriller",tv,"mystery, psychological, supernatural, thriller tv"
137,Hunter x Hunter OVA,"action, adventure, shounen, super power",ova,"action, adventure, shounen, super power ova"
139,Hunter x Hunter: Greed Island Final,"action, adventure, shounen, super power",ova,"action, adventure, shounen, super power ova"
23317,Kuroshitsuji: Book of Murder,"comedy, demons, fantasy, historical, mystery, shounen, supernatural",ova,"comedy, demons, fantasy, historical, mystery, shounen, supernatural ova"
558,Major S2,"comedy, drama, shounen, sports",tv,"comedy, drama, shounen, sports tv"
5040,One Outs,"psychological, seinen, sports",tv,"psychological, seinen, sports tv"
57,Beck,"comedy, drama, music, shounen, slice of life",tv,"comedy, drama, music, shounen, slice of life tv"
33,Berserk,"action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural",tv,"action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural tv"
5,Cowboy Bebop: Tengoku no Tobira,"action, drama, mystery, sci-fi, space",movie,"action, drama, mystery, sci-fi, space movie"
1842,Major S3,"drama, shounen, sports",tv,"drama, shounen, sports tv"
6336,Mobile Suit Gundam Unicorn,"action, drama, mecha, military, sci-fi, space",ova,"action, drama, mecha, military, sci-fi, space ova"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"drama, fantasy, shoujo, slice of life, supernatural",ova,"drama, fantasy, shoujo, slice of life, supernatural ova"
1210,NHK ni Youkoso!,"comedy, drama, psychological, romance",tv,"comedy, drama, psychological, romance tv"
338,Rose of Versailles,"adventure, drama, historical, romance, shoujo",tv,"adventure, drama, historical, romance, shoujo tv"
13759,Sakurasou no Pet na Kanojo,"comedy, drama, romance, school, slice of life",tv,"comedy, drama, romance, school, slice of life tv"
6547,Angel Beats!,"action, comedy, drama, school, supernatural",tv,"action, comedy, drama, school, supernatural tv"
5081,Bakemonogatari,"mystery, romance, supernatural, vampire",tv,"mystery, romance, supernatural, vampire tv"
32867,Bungou Stray Dogs 2nd Season,"mystery, seinen, supernatural",tv,"mystery, seinen, supernatural tv"
264,Hajime no Ippo: Champion Road,"comedy, shounen, sports",special,"comedy, shounen, sports special"
12859,One Piece Film: Z,"action, adventure, comedy, drama, fantasy, shounen",movie,"action, adventure, comedy, drama, fantasy, shounen movie"
853,Ouran Koukou Host Club,"comedy, harem, romance, school, shoujo",tv,"comedy, harem, romance, school, shoujo tv"
5460,Detective Conan Movie 13: The Raven Chaser,"action, mystery, police, shounen",movie,"action, mystery, police, shounen movie"
6746,Durarara!!,"action, mystery, supernatural",tv,"action, mystery, supernatural tv"
5690,Nodame Cantabile Finale,"comedy, josei, music, romance",tv,"comedy, josei, music, romance tv"
329,Planetes,"drama, romance, sci-fi, seinen, space",tv,"drama, romance, sci-fi, seinen, space tv"
34240,Shelter,"music, sci-fi",music,"music, sci-fi music"
513,Tenkuu no Shiro Laputa,"adventure, fantasy, romance, sci-fi",movie,"adventure, fantasy, romance, sci-fi movie"
6945,Gintama: Shiroyasha Koutan,"action, comedy, historical, parody, sci-fi",special,"action, comedy, historical, parody, sci-fi special"
1142,Hachimitsu to Clover II,"drama, josei, romance",tv,"drama, josei, romance tv"
6811,InuYasha: Kanketsu-hen,"action, adventure, comedy, demons, fantasy, magic, romance, shounen, supernatural",tv,"action, adventure, comedy, demons, fantasy, magic, romance, shounen, supernatural tv"
16664,Kaguya-hime no Monogatari,"fantasy, historical",movie,"fantasy, historical movie"
1604,Katekyo Hitman Reborn!,"action, comedy, shounen, super power",tv,"action, comedy, shounen, super power tv"
22145,Kuroshitsuji: Book of Circus,"comedy, demons, fantasy, historical, shounen, supernatural",tv,"comedy, demons, fantasy, historical, shounen, supernatural tv"
2966,Ookami to Koushinryou,"adventure, fantasy, historical, romance",tv,"adventure, fantasy, historical, romance tv"
31964,Boku no Hero Academia,"action, comedy, school, shounen, super power",tv,"action, comedy, school, shounen, super power tv"
19363,Gin no Saji 2nd Season,"comedy, school, shounen, slice of life",tv,"comedy, school, shounen, slice of life tv"
18195,Little Busters!: Refrain,"comedy, drama, romance, school, slice of life, supernatural",tv,"comedy, drama, romance, school, slice of life, supernatural tv"
9890,Major: Message,"comedy, drama, sports",ova,"comedy, drama, sports ova"
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,"action, adventure, martial arts, shounen, super power, supernatural",ova,"action, adventure, martial arts, shounen, super power, supernatural ova"
9863,SKET Dance,"comedy, school, shounen",tv,"comedy, school, shounen tv"
7674,Bakuman.,"comedy, romance, shounen",tv,"comedy, romance, shounen tv"
11843,Danshi Koukousei no Nichijou,"comedy, school, shounen, slice of life",tv,"comedy, school, shounen, slice of life tv"
16782,Kotonoha no Niwa,"drama, psychological, romance, slice of life",movie,"drama, psychological, romance, slice of life movie"
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,"fantasy, slice of life, supernatural",movie,"fantasy, slice of life, supernatural movie"
3226,Major S4,"comedy, drama, shounen, sports",tv,"comedy, drama, shounen, sports tv"
21557,Omoide no Marnie,"drama, mystery, psychological",movie,"drama, mystery, psychological movie"
31715,Working!!!: Lord of the Takanashi,"comedy, romance, slice of life",special,"comedy, romance, slice of life special"
43,Ghost in the Shell,"action, mecha, police, psychological, sci-fi, seinen",movie,"action, mecha, police, psychological, sci-fi, seinen movie"
9617,K-On! Movie,"comedy, music, slice of life",movie,"comedy, music, slice of life movie"
31051,Kuroko no Basket: Saikou no Present Desu,"action, school, shounen, sports",special,"action, school, shounen, sports special"
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,"action, comedy, drama, magic, super power",movie,"action, comedy, drama, magic, super power movie"
1033,Sennen Joyuu,"action, adventure, drama, fantasy, historical, romance",movie,"action, adventure, drama, fantasy, historical, romance movie"
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,"sci-fi, thriller",special,"sci-fi, thriller special"
3091,xxxHOLiC Kei,"comedy, drama, mystery, psychological, supernatural",tv,"comedy, drama, mystery, psychological, supernatural tv"
12115,Berserk: Ougon Jidai-hen III - Kourin,"action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural",movie,"action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural movie"
28223,Death Parade,"drama, game, mystery, psychological, thriller",tv,"drama, game, mystery, psychological, thriller tv"
121,Fullmetal Alchemist,"action, adventure, comedy, drama, fantasy, magic, military, shounen",tv,"action, adventure, comedy, drama, fantasy, magic, military, shounen tv"
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"game, psychological, seinen, thriller",tv,"game, psychological, seinen, thriller tv"
138,Hunter x Hunter: Greed Island,"action, adventure, shounen, super power",ova,"action, adventure, shounen, super power ova"
6675,Redline,"action, cars, sci-fi, sports",movie,"action, cars, sci-fi, sports movie"
10800,Chihayafuru,"drama, game, josei, slice of life, sports",tv,"drama, game, josei, slice of life, sports tv"
32005,Detective Conan Movie 20: The Darkest Nightmare,"action, mystery, police, shounen",movie,"action, mystery, police, shounen movie"
813,Dragon Ball Z,"action, adventure, comedy, fantasy, martial arts, shounen, super power",tv,"action, adventure, comedy, fantasy, martial arts, shounen, super power tv"
27821,Fate/stay night: Unlimited Blade Works - Prologue,"action, fantasy, magic, shounen, supernatural",special,"action, fantasy, magic, shounen, supernatural special"
28725,Kokoro ga Sakebitagatterunda.,"drama, romance, school",movie,"drama, romance, school movie"
585,Mimi wo Sumaseba,"adventure, drama, fantasy, romance, slice of life",movie,"adventure, drama, fantasy, romance, slice of life movie"
16067,Nagi no Asukara,"drama, fantasy, romance",tv,"drama, fantasy, romance tv"
30,Neon Genesis Evangelion,"action, dementia, drama, mecha, psychological, sci-fi",tv,"action, dementia, drama, mecha, psychological, sci-fi tv"
31490,One Piece Film: Gold,"action, adventure, comedy, drama, fantasy, shounen",movie,"action, adventure, comedy, drama, fantasy, shounen movie"
759,Tokyo Godfathers,"comedy, drama",movie,"comedy, drama movie"
6,Trigun,"action, comedy, sci-fi",tv,"action, comedy, sci-fi tv"
6864,xxxHOLiC Rou,"mystery, supernatural",ova,"mystery, supernatural ova"
9735,Gintama: Shinyaku Benizakura-hen,"action, comedy, historical, parody, samurai, sci-fi, shounen",special,"action, comedy, historical, parody, samurai, sci-fi, shounen special"
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"drama, magic, psychological, thriller",movie,"drama, magic, psychological, thriller movie"
11123,Sekaiichi Hatsukoi 2,"comedy, drama, romance, shounen ai",tv,"comedy, drama, romance, shounen ai tv"
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"comedy, drama, romance, school",tv,"comedy, drama, romance, school tv"
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"comedy, romance, school",ova,"comedy, romance, school ova"
962,Aria The Natural,"fantasy, sci-fi, shounen, slice of life",tv,"fantasy, sci-fi, shounen, slice of life tv"
1519,Black Lagoon: The Second Barrage,"action, seinen",tv,"action, seinen tv"
2167,Clannad,"comedy, drama, romance, school, slice of life, supernatural",tv,"comedy, drama, romance, school, slice of life, supernatural tv"
16706,Kami nomi zo Shiru Sekai: Megami-hen,"comedy, harem, romance, shounen, supernatural",tv,"comedy, harem, romance, shounen, supernatural tv"
5681,Summer Wars,"comedy, sci-fi",movie,"comedy, sci-fi movie"
3901,Baccano! Specials,"action, comedy, historical, mystery, seinen, supernatural",special,"action, comedy, historical, mystery, seinen, supernatural special"
6467,Detective Conan Movie 14: The Lost Ship in the Sky,"action, mystery, police, shounen",movie,"action, mystery, police, shounen movie"
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"game, psychological, seinen, thriller",tv,"game, psychological, seinen, thriller tv"
22507,Initial D Final Stage,"cars, seinen, sports",tv,"cars, seinen, sports tv"
3701,Kaiba,"adventure, mystery, romance, sci-fi",tv,"adventure, mystery, romance, sci-fi tv"
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,"action, adventure, comedy, drama, fantasy, shounen, super power",special,"action, adventure, comedy, drama, fantasy, shounen, super power special"
33255,Saiki Kusuo no Ψ-nan (TV),"comedy, school, shounen, supernatural",tv,"comedy, school, shounen, supernatural tv"
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"comedy, drama, fantasy, magic, romance, shoujo",movie,"comedy, drama, fantasy, magic, romance, shoujo movie"
265,Hajime no Ippo: Mashiba vs. Kimura,"comedy, shounen, sports",ova,"comedy, shounen, sports ova"
25681,Kamisama Hajimemashita◎,"comedy, demons, fantasy, romance, shoujo, supernatural",tv,"comedy, demons, fantasy, romance, shoujo, supernatural tv"
